|dates|Norfolk_Virginia_UnitedStates.JHU_ConfirmedCases.data|Norfolk_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Norfolk_Virginia_UnitedStates.NYT_ConfirmedCases.data|Norfolk_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Norfolk_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Norfolk_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Norfolk_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Norfolk_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|23974.0|0|23974.0|0|326.0|0|0.0|100
0|2021-10-18|24080.0|0|24080.0|0|330.0|0|0.0|100
0|2021-10-19|24109.0|0|24109.0|0|331.0|0|0.0|100
0|2021-10-20|24146.0|0|24146.0|0|333.0|0|0.0|100
0|2021-10-21|24178.0|0|24178.0|0|334.0|0|0.0|100
0|2021-10-22|24211.0|0|24211.0|0|335.0|0|0.0|100
0|2021-10-23|24211.0|0|24211.0|0|335.0|0|0.0|100
0|2021-10-24|24211.0|0|24211.0|0|335.0|0|0.0|100
0|2021-10-25|24295.0|0|24295.0|0|335.0|0|0.0|100
0|2021-10-26|24330.0|0|24330.0|0|336.0|0|0.0|100
0|2021-10-27|24378.0|0|24378.0|0|338.0|0|0.0|100
0|2021-10-28|24408.0|0|24408.0|0|340.0|0|0.0|100
0|2021-10-29|24436.0|0|24436.0|0|341.0|0|0.0|100
0|2021-10-30|24436.0|0|24436.0|0|341.0|0|0.0|100
0|2021-10-31|24436.0|0|24436.0|0|341.0|0|0.0|100
0|2021-11-01|24513.0|0|24513.0|0|341.0|0|0.0|100
0|2021-11-02|24536.0|0|24536.0|0|341.0|0|0.0|100
0|2021-11-03|24558.0|0|24558.0|0|341.0|0|0.0|100
0|2021-11-04|24579.0|0|24579.0|0|342.0|0|0.0|100
0|2021-11-05|24594.0|0|24594.0|0|343.0|0|0.0|100
0|2021-11-06|24594.0|0|24594.0|0|343.0|0|0.0|100
0|2021-11-07|24594.0|0|24594.0|0|343.0|0|0.0|100
0|2021-11-08|24644.0|0|24644.0|0|344.0|0|0.0|100
0|2021-11-09|24668.0|0|24668.0|0|344.0|0|0.0|100
0|2021-11-10|24682.0|0|24682.0|0|345.0|0|0.0|100
0|2021-11-11|24702.0|0|24702.0|0|346.0|0|0.0|100
0|2021-11-12|24725.0|0|24725.0|0|346.0|0|0.0|100
0|2021-11-13|24725.0|0|24725.0|0|346.0|0|0.0|100
0|2021-11-14|24725.0|0|24725.0|0|346.0|0|0.0|100
0|2021-11-15|24769.0|0|24769.0|0|350.0|0|0.0|100
0|2021-11-16|24785.0|0|24785.0|0|353.0|0|0.0|100
0|2021-11-17|24822.0|0|24822.0|0|353.0|0|0.0|100
0|2021-11-18|24849.0|0|24849.0|0|354.0|0|0.0|100
0|2021-11-19|24868.0|0|24868.0|0|355.0|0|0.0|100
0|2021-11-20|24868.0|0|24868.0|0|355.0|0|0.0|100
0|2021-11-21|24868.0|0|24868.0|0|355.0|0|0.0|100
0|2021-11-22|24951.0|0|24951.0|0|355.0|0|0.0|100
0|2021-11-23|24968.0|0|24968.0|0|357.0|0|0.0|100
0|2021-11-24|24987.0|0|24987.0|0|357.0|0|0.0|100
0|2021-11-25|25005.0|0|25005.0|0|357.0|0|0.0|100
0|2021-11-26|25031.0|0|25031.0|0|357.0|0|0.0|100
0|2021-11-27|25031.0|0|25031.0|0|357.0|0|0.0|100
0|2021-11-28|25031.0|0|25031.0|0|357.0|0|0.0|100
0|2021-11-29|25109.0|0|25109.0|0|358.0|0|0.0|100
0|2021-11-30|25134.0|0|25134.0|0|359.0|0|0.0|100
0|2021-12-01|25184.0|0|25184.0|0|359.0|0|0.0|100
0|2021-12-02|25211.0|0|25211.0|0|359.0|0|0.0|100
0|2021-12-03|25250.0|0|25250.0|0|359.0|0|0.0|100
0|2021-12-04|25250.0|0|25250.0|0|359.0|0|0.0|100
0|2021-12-05|25250.0|0|25250.0|0|359.0|0|0.0|100
0|2021-12-06|25362.0|0|25362.0|0|359.0|0|0.0|100
0|2021-12-07|25403.0|0|25403.0|0|359.0|0|0.0|100
0|2021-12-08|25441.0|0|25441.0|0|360.0|0|0.0|100
0|2021-12-09|25485.0|0|25485.0|0|360.0|0|0.0|100
0|2021-12-10|25541.0|0|25541.0|0|361.0|0|0.0|100
0|2021-12-11|25541.0|0|25541.0|0|361.0|0|0.0|100
0|2021-12-12|25541.0|0|25541.0|0|361.0|0|0.0|100
