|dates|Acadia_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Acadia_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Acadia_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Acadia_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Acadia_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Acadia_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Acadia_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Acadia_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10379.0|0|10379.0|0|249.0|0|0.0|100
0|2021-10-18|10392.0|0|10392.0|0|249.0|0|0.0|100
0|2021-10-19|10396.0|0|10396.0|0|249.0|0|0.0|100
0|2021-10-20|10404.0|0|10404.0|0|249.0|0|0.0|100
0|2021-10-21|10417.0|0|10417.0|0|249.0|0|0.0|100
0|2021-10-22|10426.0|0|10426.0|0|249.0|0|0.0|100
0|2021-10-23|10426.0|0|10426.0|0|249.0|0|0.0|100
0|2021-10-24|10426.0|0|10426.0|0|249.0|0|0.0|100
0|2021-10-25|10439.0|0|10439.0|0|249.0|0|0.0|100
0|2021-10-26|10450.0|0|10450.0|0|249.0|0|0.0|100
0|2021-10-27|10475.0|0|10475.0|0|249.0|0|0.0|100
0|2021-10-28|10484.0|0|10484.0|0|249.0|0|0.0|100
0|2021-10-29|10487.0|0|10487.0|0|249.0|0|0.0|100
0|2021-10-30|10487.0|0|10487.0|0|249.0|0|0.0|100
0|2021-10-31|10487.0|0|10487.0|0|249.0|0|0.0|100
0|2021-11-01|10504.0|0|10504.0|0|249.0|0|0.0|100
0|2021-11-02|10504.0|0|10504.0|0|249.0|0|0.0|100
0|2021-11-03|10508.0|0|10508.0|0|249.0|0|0.0|100
0|2021-11-04|10512.0|0|10512.0|0|250.0|0|0.0|100
0|2021-11-05|10516.0|0|10516.0|0|250.0|0|0.0|100
0|2021-11-06|10516.0|0|10516.0|0|250.0|0|0.0|100
0|2021-11-07|10516.0|0|10516.0|0|250.0|0|0.0|100
0|2021-11-08|10525.0|0|10525.0|0|249.0|0|0.0|100
