|dates|Yellowstone_Montana_UnitedStates.JHU_ConfirmedCases.data|Yellowstone_Montana_UnitedStates.JHU_ConfirmedCases.missing|Yellowstone_Montana_UnitedStates.NYT_ConfirmedCases.data|Yellowstone_Montana_UnitedStates.NYT_ConfirmedCases.missing|Yellowstone_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Yellowstone_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Yellowstone_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Yellowstone_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|26623.0|0|26623.0|0|349.0|0|0.0|100
0|2021-10-18|26855.0|0|26855.0|0|377.0|0|0.0|100
0|2021-10-19|27036.0|0|27036.0|0|384.0|0|0.0|100
0|2021-10-20|27287.0|0|27287.0|0|387.0|0|0.0|100
0|2021-10-21|27340.0|0|27340.0|0|389.0|0|0.0|100
0|2021-10-22|27526.0|0|27526.0|0|390.0|0|0.0|100
0|2021-10-23|27526.0|0|27526.0|0|390.0|0|0.0|100
0|2021-10-24|27526.0|0|27526.0|0|390.0|0|0.0|100
0|2021-10-25|27803.0|0|27803.0|0|390.0|0|0.0|100
0|2021-10-26|28110.0|0|28110.0|0|396.0|0|0.0|100
0|2021-10-27|28334.0|0|28334.0|0|397.0|0|0.0|100
0|2021-10-28|28515.0|0|28515.0|0|398.0|0|0.0|100
0|2021-10-29|28696.0|0|28696.0|0|400.0|0|0.0|100
0|2021-10-30|28696.0|0|28696.0|0|400.0|0|0.0|100
0|2021-10-31|28696.0|0|28696.0|0|400.0|0|0.0|100
0|2021-11-01|28866.0|0|28866.0|0|403.0|0|0.0|100
0|2021-11-02|29098.0|0|29098.0|0|408.0|0|0.0|100
0|2021-11-03|29240.0|0|29240.0|0|410.0|0|0.0|100
0|2021-11-04|29399.0|0|29399.0|0|410.0|0|0.0|100
0|2021-11-05|29550.0|0|29550.0|0|410.0|0|0.0|100
0|2021-11-06|29550.0|0|29550.0|0|410.0|0|0.0|100
0|2021-11-07|29550.0|0|29550.0|0|410.0|0|0.0|100
0|2021-11-08|29634.0|0|29634.0|0|412.0|0|0.0|100
0|2021-11-09|29835.0|0|29835.0|0|417.0|0|0.0|100
0|2021-11-10|30017.0|0|30017.0|0|417.0|0|0.0|100
0|2021-11-11|30017.0|0|30017.0|0|417.0|0|0.0|100
0|2021-11-12|30210.0|0|30210.0|0|424.0|0|0.0|100
0|2021-11-13|30210.0|0|30210.0|0|424.0|0|0.0|100
0|2021-11-14|30210.0|0|30210.0|0|424.0|0|0.0|100
0|2021-11-15|30295.0|0|30295.0|0|419.0|0|0.0|100
0|2021-11-16|30477.0|0|30477.0|0|425.0|0|0.0|100
0|2021-11-17|30515.0|0|30515.0|0|426.0|0|0.0|100
0|2021-11-18|30647.0|0|30647.0|0|429.0|0|0.0|100
0|2021-11-19|30722.0|0|30722.0|0|430.0|0|0.0|100
0|2021-11-20|30722.0|0|30722.0|0|430.0|0|0.0|100
0|2021-11-21|30722.0|0|30722.0|0|430.0|0|0.0|100
0|2021-11-22|30821.0|0|30821.0|0|433.0|0|0.0|100
0|2021-11-23|30970.0|0|30970.0|0|435.0|0|0.0|100
0|2021-11-24|31033.0|0|31033.0|0|436.0|0|0.0|100
0|2021-11-25|31033.0|0|31033.0|0|436.0|0|0.0|100
0|2021-11-26|31094.0|0|31094.0|0|438.0|0|0.0|100
0|2021-11-27|31094.0|0|31094.0|0|438.0|0|0.0|100
0|2021-11-28|31094.0|0|31094.0|0|438.0|0|0.0|100
0|2021-11-29|31143.0|0|31143.0|0|443.0|0|0.0|100
0|2021-11-30|31241.0|0|31241.0|0|449.0|0|0.0|100
0|2021-12-01|31316.0|0|31316.0|0|451.0|0|0.0|100
0|2021-12-02|31329.0|0|31329.0|0|451.0|0|0.0|100
0|2021-12-03|31384.0|0|31384.0|0|451.0|0|0.0|100
0|2021-12-04|31384.0|0|31384.0|0|451.0|0|0.0|100
0|2021-12-05|31384.0|0|31384.0|0|451.0|0|0.0|100
