|dates|Cowlitz_Washington_UnitedStates.AverageDailyTemperature.data|Cowlitz_Washington_UnitedStates.AverageDailyTemperature.missing|Cowlitz_Washington_UnitedStates.AverageDewPoint.data|Cowlitz_Washington_UnitedStates.AverageDewPoint.missing|Cowlitz_Washington_UnitedStates.AverageRelativeHumidity.data|Cowlitz_Washington_UnitedStates.AverageRelativeHumidity.missing|Cowlitz_Washington_UnitedStates.AverageSurfaceAirPressure.data|Cowlitz_Washington_UnitedStates.AverageSurfaceAirPressure.missing
0|2021-10-17|51.59375|0|50.302083333333336|0|96.125|0|29.557083333333328|0
0|2021-10-18|47.916666666666664|0|46.635416666666664|0|96.13541666666667|0|29.781041666666667|0
0|2021-10-19|43.942708333333336|0|43.484375|0|98.5|0|29.63057291666666|0
0|2021-10-20|52.885416666666664|0|50.416666666666664|0|91.71875|0|29.641562500000024|0
0|2021-10-21|52.114583333333336|0|50.78125|0|95.3125|0|29.620520833333316|0
0|2021-10-22|53.609375|0|51.375|0|92.85416666666667|0|29.600156249999973|0
0|2021-10-23|52.421875|0|51.270833333333336|0|96.0|0|29.471927083333313|0
0|2021-10-24|53.322916666666664|0|49.9375|0|88.98958333333333|0|28.97911458333331|0
0|2021-10-25|52.765625|0|48.1875|0|85.27604166666667|0|29.226822916666666|0
0|2021-10-26|51.640625|0|50.302083333333336|0|95.5625|0|29.573177083333302|0
0|2021-10-27|50.614583333333336|0|49.78125|0|97.21354166666667|0|30.006406249999984|0
0|2021-10-28|56.453125|0|56.453125|0|100.0|0|29.834114583333346|0
0|2021-10-29|49.6875|0|46.53125|0|90.19270833333333|0|29.924375000000026|0
0|2021-10-30|45.901041666666664|0|38.15625|0|76.66145833333333|0|29.91010416666668|0
0|2021-10-31|41.21875|0|37.364583333333336|0|87.59375|0|29.813854166666662|0
0|2021-11-01|42.760416666666664|0|42.447916666666664|0|98.97916666666667|0|29.76442708333336|0
0|2021-11-02|47.989583333333336|0|47.989583333333336|0|100.0|0|29.955364583333324|0
