|dates|Towns_Georgia_UnitedStates.JHU_ConfirmedCases.data|Towns_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Towns_Georgia_UnitedStates.NYT_ConfirmedCases.data|Towns_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Towns_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Towns_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Towns_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Towns_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1755.0|0|1762.0|0|79.0|0|0.0|100
0|2021-10-18|1756.0|0|1763.0|0|80.0|0|0.0|100
0|2021-10-19|1756.0|0|1763.0|0|80.0|0|0.0|100
0|2021-10-20|1756.0|0|1763.0|0|80.0|0|0.0|100
0|2021-10-21|1757.0|0|1764.0|0|80.0|0|0.0|100
0|2021-10-22|1759.0|0|1766.0|0|81.0|0|0.0|100
0|2021-10-23|1759.0|0|1766.0|0|81.0|0|0.0|100
0|2021-10-24|1759.0|0|1766.0|0|81.0|0|0.0|100
0|2021-10-25|1760.0|0|1768.0|0|81.0|0|0.0|100
0|2021-10-26|1761.0|0|1769.0|0|81.0|0|0.0|100
0|2021-10-27|1761.0|0|1769.0|0|81.0|0|0.0|100
0|2021-10-28|1762.0|0|1770.0|0|81.0|0|0.0|100
0|2021-10-29|1762.0|0|1770.0|0|81.0|0|0.0|100
0|2021-10-30|1762.0|0|1770.0|0|81.0|0|0.0|100
0|2021-10-31|1762.0|0|1770.0|0|81.0|0|0.0|100
0|2021-11-01|1765.0|0|1773.0|0|82.0|0|0.0|100
0|2021-11-02|1766.0|0|1774.0|0|82.0|0|0.0|100
0|2021-11-03|1766.0|0|1774.0|0|82.0|0|0.0|100
0|2021-11-04|1767.0|0|1775.0|0|82.0|0|0.0|100
0|2021-11-05|1770.0|0|1778.0|0|82.0|0|0.0|100
0|2021-11-06|1770.0|0|1778.0|0|82.0|0|0.0|100
0|2021-11-07|1770.0|0|1778.0|0|82.0|0|0.0|100
0|2021-11-08|1770.0|0|1778.0|0|82.0|0|0.0|100
0|2021-11-09|1773.0|0|1781.0|0|82.0|0|0.0|100
0|2021-11-10|1773.0|0|1782.0|0|82.0|0|0.0|100
0|2021-11-11|1774.0|0|1782.0|0|82.0|0|0.0|100
0|2021-11-12|1776.0|0|1784.0|0|83.0|0|0.0|100
0|2021-11-13|1776.0|0|1784.0|0|83.0|0|0.0|100
0|2021-11-14|1776.0|0|1784.0|0|83.0|0|0.0|100
0|2021-11-15|1776.0|0|1784.0|0|83.0|0|0.0|100
0|2021-11-16|1776.0|0|1784.0|0|83.0|0|0.0|100
0|2021-11-17|1777.0|0|1785.0|0|83.0|0|0.0|100
0|2021-11-18|1779.0|0|1787.0|0|83.0|0|0.0|100
0|2021-11-19|1781.0|0|1789.0|0|83.0|0|0.0|100
0|2021-11-20|1781.0|0|1789.0|0|83.0|0|0.0|100
0|2021-11-21|1781.0|0|1789.0|0|83.0|0|0.0|100
0|2021-11-22|1783.0|0|1791.0|0|83.0|0|0.0|100
0|2021-11-23|1786.0|0|1794.0|0|83.0|0|0.0|100
0|2021-11-24|1786.0|0|1794.0|0|83.0|0|0.0|100
0|2021-11-25|1786.0|0|1794.0|0|83.0|0|0.0|100
0|2021-11-26|1786.0|0|1794.0|0|83.0|0|0.0|100
0|2021-11-27|1786.0|0|1794.0|0|83.0|0|0.0|100
0|2021-11-28|1786.0|0|1794.0|0|83.0|0|0.0|100
0|2021-11-29|1796.0|0|1804.0|0|83.0|0|0.0|100
0|2021-11-30|1796.0|0|1804.0|0|84.0|0|0.0|100
0|2021-12-01|1797.0|0|1805.0|0|84.0|0|0.0|100
0|2021-12-02|1797.0|0|1807.0|0|84.0|0|0.0|100
0|2021-12-03|1802.0|0|1810.0|0|84.0|0|0.0|100
0|2021-12-04|1802.0|0|1810.0|0|84.0|0|0.0|100
0|2021-12-05|1802.0|0|1810.0|0|84.0|0|0.0|100
0|2021-12-06|1809.0|0|1817.0|0|84.0|0|0.0|100
