|dates|Chambers_Alabama_UnitedStates.JHU_ConfirmedCases.data|Chambers_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Chambers_Alabama_UnitedStates.NYT_ConfirmedCases.data|Chambers_Alabama_UnitedStates.NYT_ConfirmedCases.missing|Chambers_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Chambers_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Chambers_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Chambers_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5560.0|0|5560.0|0|142.0|0|0.0|100
0|2021-10-18|5562.0|0|5562.0|0|142.0|0|0.0|100
0|2021-10-19|5562.0|0|5562.0|0|142.0|0|0.0|100
0|2021-10-20|5563.0|0|5563.0|0|142.0|0|0.0|100
0|2021-10-21|5567.0|0|5567.0|0|142.0|0|0.0|100
0|2021-10-22|5607.0|0|5607.0|0|142.0|0|0.0|100
0|2021-10-23|5607.0|0|5607.0|0|142.0|0|0.0|100
0|2021-10-24|5610.0|0|5610.0|0|142.0|0|0.0|100
0|2021-10-25|5612.0|0|5612.0|0|142.0|0|0.0|100
0|2021-10-26|5615.0|0|5615.0|0|142.0|0|0.0|100
0|2021-10-27|5729.0|0|5729.0|0|142.0|0|0.0|100
0|2021-10-28|5782.0|0|5782.0|0|142.0|0|0.0|100
0|2021-10-29|5781.0|0|5781.0|0|142.0|0|0.0|100
0|2021-10-30|5780.0|0|5780.0|0|143.0|0|0.0|100
0|2021-10-31|5785.0|0|5785.0|0|143.0|0|0.0|100
0|2021-11-01|5786.0|0|5786.0|0|143.0|0|0.0|100
0|2021-11-02|5787.0|0|5787.0|0|144.0|0|0.0|100
0|2021-11-03|5785.0|0|5785.0|0|144.0|0|0.0|100
0|2021-11-04|5782.0|0|5782.0|0|144.0|0|0.0|100
0|2021-11-05|5785.0|0|5785.0|0|144.0|0|0.0|100
0|2021-11-06|5789.0|0|5789.0|0|144.0|0|0.0|100
