|dates|Montour_Pennsylvania_UnitedStates.AverageDailyTemperature.data|Montour_Pennsylvania_UnitedStates.AverageDailyTemperature.missing|Montour_Pennsylvania_UnitedStates.AverageDewPoint.data|Montour_Pennsylvania_UnitedStates.AverageDewPoint.missing|Montour_Pennsylvania_UnitedStates.AverageRelativeHumidity.data|Montour_Pennsylvania_UnitedStates.AverageRelativeHumidity.missing|Montour_Pennsylvania_UnitedStates.AverageSurfaceAirPressure.data|Montour_Pennsylvania_UnitedStates.AverageSurfaceAirPressure.missing
0|2021-10-17|51.916666666666664|0|43.083333333333336|0|72.29166666666667|0|29.30125000000001|0
0|2021-10-18|50.0|0|38.666666666666664|0|67.0|0|29.37083333333334|0
0|2021-10-19|53.166666666666664|0|41.041666666666664|0|66.54166666666667|0|29.473333333333343|0
0|2021-10-20|59.833333333333336|0|47.166666666666664|0|64.83333333333333|0|29.483750000000004|0
0|2021-10-21|59.604166666666664|0|49.895833333333336|0|72.95833333333333|0|29.345416666666676|0
0|2021-10-22|55.916666666666664|0|47.458333333333336|0|73.6875|0|29.326874999999998|0
0|2021-10-23|48.24166666666667|0|43.17777777777778|0|83.07083333333334|0|29.411041666666673|0
0|2021-10-24|46.92013888888889|0|43.62152777777777|0|88.58680555555556|0|29.52353472222222|0
0|2021-10-25|59.916666666666664|0|53.25694444444445|0|79.45833333333333|0|29.254375|0
0|2021-10-26|52.92361111111111|0|49.083333333333336|0|86.99305555555554|0|29.00284722222222|0
0|2021-10-27|56.791666666666664|0|43.875|0|64.39583333333333|0|29.24791666666667|0
0|2021-10-28|50.458333333333336|0|42.6875|0|75.91666666666667|0|29.33291666666665|0
0|2021-10-29|51.05902777777778|0|45.21875|0|80.98958333333333|0|29.16152777777778|0
0|2021-10-30|51.96388888888888|0|49.40555555555556|0|91.11874999999999|0|28.989430555555558|0
0|2021-10-31|53.46388888888888|0|48.31388888888889|0|83.6138888888889|0|29.08276388888889|0
0|2021-11-01|49.041666666666664|0|36.666666666666664|0|65.66666666666667|0|29.500833333333336|0
0|2021-11-02|43.958333333333336|0|33.291666666666664|0|68.41666666666667|0|29.61333333333333|0
0|2021-11-03|40.291666666666664|0|28.791666666666668|0|66.16666666666667|0|29.69333333333333|0
