|dates|Marion_Iowa_UnitedStates.JHU_ConfirmedCases.data|Marion_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Marion_Iowa_UnitedStates.NYT_ConfirmedCases.data|Marion_Iowa_UnitedStates.NYT_ConfirmedCases.missing|Marion_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4997.0|0|5000.0|0|91.0|0|0.0|100
0|2021-10-18|4997.0|0|5000.0|0|91.0|0|0.0|100
0|2021-10-19|4997.0|0|5000.0|0|91.0|0|0.0|100
0|2021-10-20|5081.0|0|5081.0|0|91.0|0|0.0|100
0|2021-10-21|5081.0|0|5081.0|0|91.0|0|0.0|100
0|2021-10-22|5081.0|0|5081.0|0|91.0|0|0.0|100
0|2021-10-23|5081.0|0|5081.0|0|91.0|0|0.0|100
0|2021-10-24|5081.0|0|5081.0|0|91.0|0|0.0|100
0|2021-10-25|5081.0|0|5081.0|0|91.0|0|0.0|100
0|2021-10-26|5081.0|0|5081.0|0|91.0|0|0.0|100
0|2021-10-27|5162.0|0|5163.0|0|92.0|0|0.0|100
0|2021-10-28|5162.0|0|5163.0|0|92.0|0|0.0|100
0|2021-10-29|5162.0|0|5163.0|0|92.0|0|0.0|100
0|2021-10-30|5162.0|0|5163.0|0|92.0|0|0.0|100
0|2021-10-31|5162.0|0|5163.0|0|92.0|0|0.0|100
0|2021-11-01|5162.0|0|5163.0|0|92.0|0|0.0|100
0|2021-11-02|5263.0|0|5163.0|0|92.0|0|0.0|100
0|2021-11-03|5263.0|0|5265.0|0|95.0|0|0.0|100
0|2021-11-04|5263.0|0|5265.0|0|95.0|0|0.0|100
0|2021-11-05|5263.0|0|5265.0|0|95.0|0|0.0|100
0|2021-11-06|5263.0|0|5265.0|0|95.0|0|0.0|100
0|2021-11-07|5263.0|0|5265.0|0|95.0|0|0.0|100
0|2021-11-08|5263.0|0|5265.0|0|95.0|0|0.0|100
0|2021-11-09|5263.0|0|5265.0|0|95.0|0|0.0|100
0|2021-11-10|5263.0|0|5388.0|0|95.0|0|0.0|100
