|dates|Westmoreland_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Westmoreland_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Westmoreland_Pennsylvania_UnitedStates.Male_Total_Population.data|Westmoreland_Pennsylvania_UnitedStates.Male_Total_Population.missing|Westmoreland_Pennsylvania_UnitedStates.Female_Total_Population.data|Westmoreland_Pennsylvania_UnitedStates.Female_Total_Population.missing|Westmoreland_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Westmoreland_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-18|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-19|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-20|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-21|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-22|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-23|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-24|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-25|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-26|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-27|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-28|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-29|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-30|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-10-31|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-01|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-02|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-03|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-04|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-05|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-06|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-07|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-08|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-09|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-10|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-11|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-12|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-13|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-14|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-15|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-16|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-17|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-18|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-19|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-20|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-21|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-22|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-23|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-24|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-25|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-26|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-27|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-28|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-29|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-11-30|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-01|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-02|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-03|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-04|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-05|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-06|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-07|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-08|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-09|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-10|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-11|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-12|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-13|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-14|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-15|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-16|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-17|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-18|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-19|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-20|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-21|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-22|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-23|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-24|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-25|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-26|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-27|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-28|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-29|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-30|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2021-12-31|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-01|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-02|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-03|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-04|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-05|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-06|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-07|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-08|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-09|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-10|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-11|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-12|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-13|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-14|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-15|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-16|79652.0|0|171509.0|0|179102.0|0|64117.0|0
0|2022-01-17|79652.0|0|171509.0|0|179102.0|0|64117.0|0
