|dates|Hall_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Hall_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Hall_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Hall_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Hall_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Hall_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Hall_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Hall_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9696.0|0|9696.0|0|117.0|0|0.0|100
0|2021-10-18|9727.0|0|9727.0|0|117.0|0|0.0|100
0|2021-10-19|9746.0|0|9746.0|0|117.0|0|0.0|100
0|2021-10-20|9782.0|0|9782.0|0|117.0|0|0.0|100
0|2021-10-21|9810.0|0|9810.0|0|117.0|0|0.0|100
0|2021-10-22|9810.0|0|9810.0|0|117.0|0|0.0|100
0|2021-10-23|9810.0|0|9810.0|0|117.0|0|0.0|100
0|2021-10-24|9810.0|0|9810.0|0|117.0|0|0.0|100
0|2021-10-25|9810.0|0|9810.0|0|117.0|0|0.0|100
0|2021-10-26|9810.0|0|9810.0|0|117.0|0|0.0|100
0|2021-10-27|9933.0|0|9933.0|0|117.0|0|0.0|100
0|2021-10-28|9933.0|0|9933.0|0|117.0|0|0.0|100
0|2021-10-29|9933.0|0|9949.0|0|117.0|0|0.0|100
0|2021-10-30|9933.0|0|9949.0|0|117.0|0|0.0|100
0|2021-10-31|9933.0|0|9959.0|0|117.0|0|0.0|100
0|2021-11-01|9933.0|0|10027.0|0|117.0|0|0.0|100
0|2021-11-02|9933.0|0|10027.0|0|117.0|0|0.0|100
0|2021-11-03|10097.0|0|10097.0|0|117.0|0|0.0|100
0|2021-11-04|10097.0|0|10097.0|0|117.0|0|0.0|100
0|2021-11-05|10097.0|0|10097.0|0|117.0|0|0.0|100
0|2021-11-06|10097.0|0|10097.0|0|117.0|0|0.0|100
0|2021-11-07|10097.0|0|10097.0|0|117.0|0|0.0|100
0|2021-11-08|10190.0|0|10190.0|0|117.0|0|0.0|100
0|2021-11-09|10214.0|0|10214.0|0|117.0|0|0.0|100
0|2021-11-10|10240.0|0|10240.0|0|117.0|0|0.0|100
0|2021-11-11|10273.0|0|10273.0|0|117.0|0|0.0|100
0|2021-11-12|10300.0|0|10300.0|0|117.0|0|0.0|100
0|2021-11-13|10300.0|0|10300.0|0|117.0|0|0.0|100
0|2021-11-14|10300.0|0|10300.0|0|117.0|0|0.0|100
0|2021-11-15|10346.0|0|10346.0|0|117.0|0|0.0|100
0|2021-11-16|10371.0|0|10371.0|0|117.0|0|0.0|100
0|2021-11-17|10408.0|0|10408.0|0|117.0|0|0.0|100
0|2021-11-18|10443.0|0|10443.0|0|117.0|0|0.0|100
0|2021-11-19|10470.0|0|10470.0|0|117.0|0|0.0|100
0|2021-11-20|10470.0|0|10470.0|0|117.0|0|0.0|100
0|2021-11-21|10470.0|0|10470.0|0|117.0|0|0.0|100
0|2021-11-22|10503.0|0|10503.0|0|117.0|0|0.0|100
0|2021-11-23|10542.0|0|10542.0|0|117.0|0|0.0|100
0|2021-11-24|10574.0|0|10574.0|0|117.0|0|0.0|100
0|2021-11-25|10574.0|0|10574.0|0|117.0|0|0.0|100
0|2021-11-26|10574.0|0|10574.0|0|117.0|0|0.0|100
0|2021-11-27|10574.0|0|10574.0|0|117.0|0|0.0|100
0|2021-11-28|10574.0|0|10574.0|0|117.0|0|0.0|100
0|2021-11-29|10664.0|0|10664.0|0|117.0|0|0.0|100
0|2021-11-30|10685.0|0|10685.0|0|117.0|0|0.0|100
0|2021-12-01|10740.0|0|10740.0|0|117.0|0|0.0|100
0|2021-12-02|10772.0|0|10772.0|0|117.0|0|0.0|100
0|2021-12-03|10848.0|0|10848.0|0|117.0|0|0.0|100
0|2021-12-04|10848.0|0|10848.0|0|117.0|0|0.0|100
0|2021-12-05|10848.0|0|10848.0|0|117.0|0|0.0|100
0|2021-12-06|10904.0|0|10904.0|0|117.0|0|0.0|100
0|2021-12-07|10942.0|0|10942.0|0|117.0|0|0.0|100
0|2021-12-08|10982.0|0|10982.0|0|117.0|0|0.0|100
0|2021-12-09|11010.0|0|11010.0|0|117.0|0|0.0|100
0|2021-12-10|11036.0|0|11036.0|0|117.0|0|0.0|100
0|2021-12-11|11036.0|0|11036.0|0|117.0|0|0.0|100
0|2021-12-12|11036.0|0|11036.0|0|117.0|0|0.0|100
0|2021-12-13|11074.0|0|11074.0|0|117.0|0|0.0|100
0|2021-12-14|11074.0|0|11102.0|0|117.0|0|0.0|100
0|2021-12-15|11137.0|0|11137.0|0|117.0|0|0.0|100
0|2021-12-16|11167.0|0|11167.0|0|117.0|0|0.0|100
0|2021-12-17|11189.0|0|11189.0|0|117.0|0|0.0|100
0|2021-12-18|11189.0|0|11189.0|0|117.0|0|0.0|100
0|2021-12-19|11189.0|0|11189.0|0|117.0|0|0.0|100
0|2021-12-20|11207.0|0|11207.0|0|117.0|0|0.0|100
0|2021-12-21|11252.0|0|11252.0|0|117.0|0|0.0|100
0|2021-12-22|11281.0|0|11281.0|0|117.0|0|0.0|100
0|2021-12-23|11295.0|0|11295.0|0|117.0|0|0.0|100
0|2021-12-24|11295.0|0|11295.0|0|117.0|0|0.0|100
0|2021-12-25|11295.0|0|11295.0|0|117.0|0|0.0|100
0|2021-12-26|11295.0|0|11295.0|0|117.0|0|0.0|100
0|2021-12-27|11295.0|0|11295.0|0|117.0|0|0.0|100
0|2021-12-28|11350.0|0|11350.0|0|117.0|0|0.0|100
0|2021-12-29|11387.0|0|11387.0|0|117.0|0|0.0|100
0|2021-12-30|11453.0|0|11453.0|0|117.0|0|0.0|100
0|2021-12-31|11453.0|0|11453.0|0|117.0|0|0.0|100
0|2022-01-01|11453.0|0|11453.0|0|117.0|0|0.0|100
0|2022-01-02|11453.0|0|11453.0|0|117.0|0|0.0|100
0|2022-01-03|11538.0|0|11538.0|0|117.0|0|0.0|100
0|2022-01-04|11610.0|0|11610.0|0|117.0|0|0.0|100
0|2022-01-05|11711.0|0|11711.0|0|117.0|0|0.0|100
0|2022-01-06|11777.0|0|11777.0|0|117.0|0|0.0|100
0|2022-01-07|11837.0|0|11837.0|0|117.0|0|0.0|100
0|2022-01-08|11837.0|0|11837.0|0|117.0|0|0.0|100
0|2022-01-09|11837.0|0|11837.0|0|117.0|0|0.0|100
0|2022-01-10|11984.0|0|11984.0|0|117.0|0|0.0|100
0|2022-01-11|12087.0|0|12087.0|0|117.0|0|0.0|100
0|2022-01-12|12213.0|0|12213.0|0|117.0|0|0.0|100
0|2022-01-13|12213.0|0|12358.0|0|117.0|0|0.0|100
0|2022-01-14|13019.0|0|13019.0|0|117.0|0|0.0|100
0|2022-01-15|13019.0|0|13019.0|0|117.0|0|0.0|100
0|2022-01-16|13019.0|0|13019.0|0|117.0|0|0.0|100
0|2022-01-17|13277.0|0|0.0|100|117.0|0|0.0|100
