|dates|Grant_Indiana_UnitedStates.JHU_ConfirmedCases.data|Grant_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Grant_Indiana_UnitedStates.NYT_ConfirmedCases.data|Grant_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Grant_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Grant_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Grant_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Grant_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9898.0|0|10305.0|0|217.0|0|0.0|100
0|2021-10-18|9964.0|0|10371.0|0|218.0|0|0.0|100
0|2021-10-19|10000.0|0|10407.0|0|218.0|0|0.0|100
0|2021-10-20|10019.0|0|10426.0|0|219.0|0|0.0|100
0|2021-10-21|10051.0|0|10458.0|0|220.0|0|0.0|100
0|2021-10-22|10082.0|0|10489.0|0|220.0|0|0.0|100
0|2021-10-23|10082.0|0|10489.0|0|220.0|0|0.0|100
0|2021-10-24|10082.0|0|10489.0|0|220.0|0|0.0|100
0|2021-10-25|10131.0|0|10537.0|0|220.0|0|0.0|100
0|2021-10-26|10159.0|0|10564.0|0|220.0|0|0.0|100
0|2021-10-27|10197.0|0|10602.0|0|221.0|0|0.0|100
0|2021-10-28|10240.0|0|10645.0|0|222.0|0|0.0|100
0|2021-10-29|10274.0|0|10679.0|0|222.0|0|0.0|100
0|2021-10-30|10274.0|0|10679.0|0|222.0|0|0.0|100
0|2021-10-31|10274.0|0|10679.0|0|222.0|0|0.0|100
0|2021-11-01|10365.0|0|10770.0|0|224.0|0|0.0|100
0|2021-11-02|10386.0|0|10791.0|0|224.0|0|0.0|100
0|2021-11-03|10417.0|0|10822.0|0|225.0|0|0.0|100
0|2021-11-04|10439.0|0|10844.0|0|225.0|0|0.0|100
0|2021-11-05|10502.0|0|10907.0|0|225.0|0|0.0|100
0|2021-11-06|10502.0|0|10907.0|0|225.0|0|0.0|100
0|2021-11-07|10502.0|0|10907.0|0|225.0|0|0.0|100
0|2021-11-08|10603.0|0|11008.0|0|225.0|0|0.0|100
0|2021-11-09|10640.0|0|11047.0|0|225.0|0|0.0|100
0|2021-11-10|10687.0|0|11093.0|0|226.0|0|0.0|100
0|2021-11-11|10824.0|0|11230.0|0|226.0|0|0.0|100
0|2021-11-12|10878.0|0|11285.0|0|229.0|0|0.0|100
0|2021-11-13|10878.0|0|11285.0|0|229.0|0|0.0|100
0|2021-11-14|10878.0|0|11285.0|0|229.0|0|0.0|100
0|2021-11-15|10990.0|0|11397.0|0|229.0|0|0.0|100
0|2021-11-16|11045.0|0|11451.0|0|230.0|0|0.0|100
0|2021-11-17|11103.0|0|11509.0|0|230.0|0|0.0|100
0|2021-11-18|11159.0|0|11565.0|0|231.0|0|0.0|100
0|2021-11-19|11242.0|0|11648.0|0|231.0|0|0.0|100
0|2021-11-20|11242.0|0|11648.0|0|231.0|0|0.0|100
0|2021-11-21|11242.0|0|11648.0|0|231.0|0|0.0|100
0|2021-11-22|11358.0|0|11764.0|0|231.0|0|0.0|100
0|2021-11-23|11437.0|0|11843.0|0|232.0|0|0.0|100
0|2021-11-24|11484.0|0|11890.0|0|233.0|0|0.0|100
