|dates|LaSalle_Illinois_UnitedStates.JHU_ConfirmedCases.data|LaSalle_Illinois_UnitedStates.JHU_ConfirmedCases.missing|LaSalle_Illinois_UnitedStates.NYT_ConfirmedCases.data|LaSalle_Illinois_UnitedStates.NYT_ConfirmedCases.missing|LaSalle_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|LaSalle_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|LaSalle_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|LaSalle_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|14954.0|0|14954.0|0|285.0|0|0.0|100
0|2021-10-18|14983.0|0|14983.0|0|285.0|0|0.0|100
0|2021-10-19|15011.0|0|15011.0|0|285.0|0|0.0|100
0|2021-10-20|15030.0|0|15030.0|0|287.0|0|0.0|100
0|2021-10-21|15052.0|0|15052.0|0|287.0|0|0.0|100
0|2021-10-22|15078.0|0|15078.0|0|287.0|0|0.0|100
0|2021-10-23|15078.0|0|15078.0|0|287.0|0|0.0|100
0|2021-10-24|15078.0|0|15078.0|0|287.0|0|0.0|100
0|2021-10-25|15106.0|0|15106.0|0|287.0|0|0.0|100
0|2021-10-26|15119.0|0|15119.0|0|287.0|0|0.0|100
0|2021-10-27|15144.0|0|15144.0|0|288.0|0|0.0|100
0|2021-10-28|15159.0|0|15159.0|0|288.0|0|0.0|100
0|2021-10-29|15173.0|0|15173.0|0|289.0|0|0.0|100
0|2021-10-30|15173.0|0|15173.0|0|289.0|0|0.0|100
0|2021-10-31|15173.0|0|15173.0|0|289.0|0|0.0|100
0|2021-11-01|15220.0|0|15220.0|0|290.0|0|0.0|100
0|2021-11-02|15251.0|0|15251.0|0|290.0|0|0.0|100
0|2021-11-03|15258.0|0|15258.0|0|290.0|0|0.0|100
0|2021-11-04|15289.0|0|15289.0|0|290.0|0|0.0|100
0|2021-11-05|15300.0|0|15300.0|0|290.0|0|0.0|100
0|2021-11-06|15300.0|0|15300.0|0|290.0|0|0.0|100
0|2021-11-07|15300.0|0|15300.0|0|290.0|0|0.0|100
0|2021-11-08|15348.0|0|15348.0|0|290.0|0|0.0|100
0|2021-11-09|15370.0|0|15370.0|0|290.0|0|0.0|100
0|2021-11-10|15404.0|0|15404.0|0|291.0|0|0.0|100
0|2021-11-11|15404.0|0|15404.0|0|291.0|0|0.0|100
0|2021-11-12|15488.0|0|15488.0|0|291.0|0|0.0|100
0|2021-11-13|15488.0|0|15488.0|0|291.0|0|0.0|100
0|2021-11-14|15488.0|0|15488.0|0|291.0|0|0.0|100
0|2021-11-15|15566.0|0|15566.0|0|291.0|0|0.0|100
0|2021-11-16|15585.0|0|15585.0|0|291.0|0|0.0|100
