|dates|Chester_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Chester_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Chester_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.data|Chester_Pennsylvania_UnitedStates.NYT_ConfirmedDeaths.missing|Chester_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Chester_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Chester_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Chester_Pennsylvania_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|866.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|867.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|867.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|869.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|871.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|871.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|871.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|871.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|872.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|874.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|875.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|877.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|879.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|879.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|880.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|880.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|881.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|883.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|885.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|888.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|888.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|888.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|888.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|891.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|892.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|892.0|0|0.0|100|0.0|100
