|dates|Mercer_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Mercer_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Mercer_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Mercer_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Mercer_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Mercer_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Mercer_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Mercer_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8423.0|0|8423.0|0|174.0|0|0.0|100
0|2021-10-18|8443.0|0|8443.0|0|174.0|0|0.0|100
0|2021-10-19|8458.0|0|8458.0|0|174.0|0|0.0|100
0|2021-10-20|8481.0|0|8481.0|0|174.0|0|0.0|100
0|2021-10-21|8516.0|0|8516.0|0|174.0|0|0.0|100
0|2021-10-22|8543.0|0|8543.0|0|174.0|0|0.0|100
0|2021-10-23|8563.0|0|8563.0|0|174.0|0|0.0|100
0|2021-10-24|8580.0|0|8580.0|0|174.0|0|0.0|100
0|2021-10-25|8598.0|0|8598.0|0|174.0|0|0.0|100
0|2021-10-26|8614.0|0|8614.0|0|174.0|0|0.0|100
0|2021-10-27|8628.0|0|8628.0|0|174.0|0|0.0|100
0|2021-10-28|8661.0|0|8661.0|0|179.0|0|0.0|100
0|2021-10-29|8705.0|0|8705.0|0|179.0|0|0.0|100
0|2021-10-30|8741.0|0|8741.0|0|179.0|0|0.0|100
0|2021-10-31|8756.0|0|8756.0|0|179.0|0|0.0|100
0|2021-11-01|8790.0|0|8790.0|0|179.0|0|0.0|100
0|2021-11-02|8807.0|0|8807.0|0|179.0|0|0.0|100
0|2021-11-03|8830.0|0|8830.0|0|179.0|0|0.0|100
0|2021-11-04|8867.0|0|8867.0|0|180.0|0|0.0|100
0|2021-11-05|8910.0|0|8910.0|0|180.0|0|0.0|100
0|2021-11-06|8943.0|0|8943.0|0|180.0|0|0.0|100
0|2021-11-07|8981.0|0|8981.0|0|180.0|0|0.0|100
0|2021-11-08|8995.0|0|8995.0|0|180.0|0|0.0|100
0|2021-11-09|9014.0|0|9014.0|0|180.0|0|0.0|100
0|2021-11-10|9014.0|0|9045.0|0|180.0|0|0.0|100
0|2021-11-11|9082.0|0|9082.0|0|180.0|0|0.0|100
0|2021-11-12|9115.0|0|9115.0|0|180.0|0|0.0|100
0|2021-11-13|9137.0|0|9137.0|0|180.0|0|0.0|100
0|2021-11-14|9165.0|0|9165.0|0|180.0|0|0.0|100
0|2021-11-15|9196.0|0|9196.0|0|181.0|0|0.0|100
0|2021-11-16|9217.0|0|9217.0|0|181.0|0|0.0|100
0|2021-11-17|9247.0|0|9247.0|0|181.0|0|0.0|100
0|2021-11-18|9290.0|0|9290.0|0|182.0|0|0.0|100
0|2021-11-19|9317.0|0|9317.0|0|182.0|0|0.0|100
0|2021-11-20|9359.0|0|9359.0|0|182.0|0|0.0|100
0|2021-11-21|9395.0|0|9395.0|0|182.0|0|0.0|100
0|2021-11-22|9434.0|0|9434.0|0|182.0|0|0.0|100
