|dates|Loudoun_Virginia_UnitedStates.JHU_ConfirmedCases.data|Loudoun_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Loudoun_Virginia_UnitedStates.NYT_ConfirmedCases.data|Loudoun_Virginia_UnitedStates.NYT_ConfirmedCases.missing|Loudoun_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Loudoun_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Loudoun_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Loudoun_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|33536.0|0|33536.0|0|294.0|0|0.0|100
0|2021-10-18|33659.0|0|33659.0|0|294.0|0|0.0|100
0|2021-10-19|33715.0|0|33715.0|0|294.0|0|0.0|100
0|2021-10-20|33766.0|0|33766.0|0|295.0|0|0.0|100
0|2021-10-21|33816.0|0|33816.0|0|295.0|0|0.0|100
0|2021-10-22|33870.0|0|33870.0|0|295.0|0|0.0|100
0|2021-10-23|33870.0|0|33870.0|0|295.0|0|0.0|100
0|2021-10-24|33870.0|0|33870.0|0|295.0|0|0.0|100
0|2021-10-25|34005.0|0|34005.0|0|296.0|0|0.0|100
0|2021-10-26|34035.0|0|34035.0|0|297.0|0|0.0|100
0|2021-10-27|34074.0|0|34074.0|0|298.0|0|0.0|100
0|2021-10-28|34125.0|0|34125.0|0|300.0|0|0.0|100
0|2021-10-29|34176.0|0|34176.0|0|300.0|0|0.0|100
0|2021-10-30|34176.0|0|34176.0|0|300.0|0|0.0|100
0|2021-10-31|34176.0|0|34176.0|0|300.0|0|0.0|100
0|2021-11-01|34266.0|0|34266.0|0|300.0|0|0.0|100
0|2021-11-02|34300.0|0|34300.0|0|300.0|0|0.0|100
0|2021-11-03|34355.0|0|34355.0|0|300.0|0|0.0|100
0|2021-11-04|34408.0|0|34408.0|0|300.0|0|0.0|100
0|2021-11-05|34455.0|0|34455.0|0|300.0|0|0.0|100
0|2021-11-06|34455.0|0|34455.0|0|300.0|0|0.0|100
0|2021-11-07|34455.0|0|34455.0|0|300.0|0|0.0|100
0|2021-11-08|34544.0|0|34544.0|0|301.0|0|0.0|100
0|2021-11-09|34594.0|0|34594.0|0|301.0|0|0.0|100
0|2021-11-10|34655.0|0|34655.0|0|301.0|0|0.0|100
0|2021-11-11|34732.0|0|34732.0|0|301.0|0|0.0|100
0|2021-11-12|34782.0|0|34782.0|0|301.0|0|0.0|100
0|2021-11-13|34782.0|0|34782.0|0|301.0|0|0.0|100
0|2021-11-14|34782.0|0|34782.0|0|301.0|0|0.0|100
0|2021-11-15|34928.0|0|34928.0|0|302.0|0|0.0|100
0|2021-11-16|34980.0|0|34980.0|0|302.0|0|0.0|100
