|dates|Sullivan_Pennsylvania_UnitedStates.AveragePrecipitationTotal.data|Sullivan_Pennsylvania_UnitedStates.AveragePrecipitationTotal.missing|Sullivan_Pennsylvania_UnitedStates.AveragePrecipitation.data|Sullivan_Pennsylvania_UnitedStates.AveragePrecipitation.missing|Sullivan_Pennsylvania_UnitedStates.AverageWindDirection.data|Sullivan_Pennsylvania_UnitedStates.AverageWindDirection.missing|Sullivan_Pennsylvania_UnitedStates.AverageWindSpeed.data|Sullivan_Pennsylvania_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0022916666666666662|0|254.0625|0|5.083333333333333|0
0|2021-10-18|0.0|0|0.0|0|252.91666666666666|0|5.739583333333333|0
0|2021-10-19|0.0|0|0.0|0|256.5625|0|4.645833333333333|0
0|2021-10-20|0.0|0|0.0|0|173.54166666666666|0|2.9791666666666665|0
0|2021-10-21|0.0|0|0.003437500000000001|0|98.85416666666667|0|2.875|0
0|2021-10-22|0.0|0|0.004270833333333334|0|165.10416666666666|0|2.625|0
0|2021-10-23|0.0|0|0.0037500000000000003|0|65.20833333333333|0|0.84375|0
0|2021-10-24|0.0|0|0.0013541666666666665|0|54.479166666666664|0|1.5625|0
0|2021-10-25|0.0|0|0.009062500000000001|0|114.47916666666667|0|4.322916666666667|0
0|2021-10-26|0.0|0|0.028124999999999945|0|209.6875|0|4.53125|0
0|2021-10-27|0.0|0|0.00010416666666666667|0|312.0833333333333|0|7.416666666666667|0
0|2021-10-28|0.0|0|0.0|0|49.895833333333336|0|1.8333333333333333|0
0|2021-10-29|0.0|0|0.019375|0|88.54166666666667|0|7.5|0
0|2021-10-30|0.0|0|0.010000000000000007|0|75.52083333333333|0|3.9166666666666665|0
0|2021-10-31|0.0|0|0.0014583333333333334|0|144.6875|0|2.78125|0
0|2021-11-01|0.0|0|0.0|0|203.95833333333334|0|4.072916666666667|0
0|2021-11-02|0.0|0|0.0|0|68.02083333333333|0|1.0625|0
0|2021-11-03|0.0|0|0.0|0|102.60416666666667|0|1.7916666666666667|0
0|2021-11-04|0.0|0|0.0|0|18.333333333333332|0|0.20833333333333334|0
