|dates|Rankin_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Rankin_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Rankin_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Rankin_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Rankin_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Rankin_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Rankin_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Rankin_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|21881.0|0|21881.0|0|388.0|0|0.0|100
0|2021-10-18|21928.0|0|21928.0|0|388.0|0|0.0|100
0|2021-10-19|21953.0|0|21953.0|0|388.0|0|0.0|100
0|2021-10-20|21971.0|0|21971.0|0|390.0|0|0.0|100
0|2021-10-21|21983.0|0|21983.0|0|390.0|0|0.0|100
0|2021-10-22|21995.0|0|21995.0|0|390.0|0|0.0|100
0|2021-10-23|21995.0|0|21995.0|0|390.0|0|0.0|100
0|2021-10-24|21995.0|0|21995.0|0|390.0|0|0.0|100
0|2021-10-25|22015.0|0|22015.0|0|390.0|0|0.0|100
0|2021-10-26|22103.0|0|22103.0|0|391.0|0|0.0|100
0|2021-10-27|22110.0|0|22110.0|0|392.0|0|0.0|100
0|2021-10-28|22117.0|0|22117.0|0|392.0|0|0.0|100
0|2021-10-29|22137.0|0|22137.0|0|392.0|0|0.0|100
0|2021-10-30|22137.0|0|22137.0|0|392.0|0|0.0|100
0|2021-10-31|22137.0|0|22137.0|0|392.0|0|0.0|100
0|2021-11-01|22162.0|0|22162.0|0|394.0|0|0.0|100
0|2021-11-02|22178.0|0|22178.0|0|397.0|0|0.0|100
0|2021-11-03|22230.0|0|22230.0|0|397.0|0|0.0|100
0|2021-11-04|22234.0|0|22234.0|0|397.0|0|0.0|100
0|2021-11-05|22271.0|0|22271.0|0|397.0|0|0.0|100
0|2021-11-06|22271.0|0|22271.0|0|397.0|0|0.0|100
0|2021-11-07|22271.0|0|22271.0|0|397.0|0|0.0|100
0|2021-11-08|22290.0|0|22290.0|0|397.0|0|0.0|100
0|2021-11-09|22294.0|0|22294.0|0|400.0|0|0.0|100
0|2021-11-10|22302.0|0|22302.0|0|400.0|0|0.0|100
0|2021-11-11|22302.0|0|22302.0|0|400.0|0|0.0|100
0|2021-11-12|22322.0|0|22322.0|0|400.0|0|0.0|100
0|2021-11-13|22322.0|0|22322.0|0|400.0|0|0.0|100
0|2021-11-14|22322.0|0|22322.0|0|400.0|0|0.0|100
0|2021-11-15|22360.0|0|22360.0|0|401.0|0|0.0|100
0|2021-11-16|22367.0|0|22367.0|0|401.0|0|0.0|100
0|2021-11-17|22374.0|0|22374.0|0|401.0|0|0.0|100
0|2021-11-18|22375.0|0|22375.0|0|401.0|0|0.0|100
0|2021-11-19|22386.0|0|22386.0|0|401.0|0|0.0|100
0|2021-11-20|22386.0|0|22386.0|0|401.0|0|0.0|100
0|2021-11-21|22386.0|0|22386.0|0|401.0|0|0.0|100
0|2021-11-22|22419.0|0|22419.0|0|401.0|0|0.0|100
0|2021-11-23|22424.0|0|22424.0|0|401.0|0|0.0|100
0|2021-11-24|22442.0|0|22442.0|0|402.0|0|0.0|100
0|2021-11-25|22442.0|0|22442.0|0|402.0|0|0.0|100
0|2021-11-26|22442.0|0|22442.0|0|402.0|0|0.0|100
0|2021-11-27|22442.0|0|22442.0|0|402.0|0|0.0|100
0|2021-11-28|22442.0|0|22442.0|0|402.0|0|0.0|100
0|2021-11-29|22507.0|0|22507.0|0|403.0|0|0.0|100
0|2021-11-30|22516.0|0|22516.0|0|404.0|0|0.0|100
