|dates|Chaves_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Chaves_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Chaves_NewMexico_UnitedStates.NYT_ConfirmedCases.data|Chaves_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|Chaves_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Chaves_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Chaves_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Chaves_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12405.0|0|12634.0|0|196.0|0|0.0|100
0|2021-10-18|12479.0|0|12708.0|0|196.0|0|0.0|100
0|2021-10-19|12491.0|0|12720.0|0|198.0|0|0.0|100
0|2021-10-20|12512.0|0|12741.0|0|198.0|0|0.0|100
0|2021-10-21|12557.0|0|12786.0|0|199.0|0|0.0|100
0|2021-10-22|12584.0|0|12813.0|0|200.0|0|0.0|100
0|2021-10-23|12584.0|0|12813.0|0|200.0|0|0.0|100
0|2021-10-24|12584.0|0|12813.0|0|200.0|0|0.0|100
0|2021-10-25|12638.0|0|12867.0|0|200.0|0|0.0|100
0|2021-10-26|12655.0|0|12884.0|0|201.0|0|0.0|100
0|2021-10-27|12695.0|0|12924.0|0|201.0|0|0.0|100
0|2021-10-28|12758.0|0|12987.0|0|202.0|0|0.0|100
0|2021-10-29|12788.0|0|13017.0|0|203.0|0|0.0|100
0|2021-10-30|12788.0|0|13017.0|0|203.0|0|0.0|100
0|2021-10-31|12788.0|0|13017.0|0|203.0|0|0.0|100
0|2021-11-01|12856.0|0|13085.0|0|204.0|0|0.0|100
0|2021-11-02|12861.0|0|13090.0|0|205.0|0|0.0|100
0|2021-11-03|12896.0|0|13125.0|0|205.0|0|0.0|100
0|2021-11-04|12951.0|0|13180.0|0|205.0|0|0.0|100
0|2021-11-05|12985.0|0|13214.0|0|206.0|0|0.0|100
0|2021-11-06|12985.0|0|13214.0|0|206.0|0|0.0|100
0|2021-11-07|12985.0|0|13214.0|0|206.0|0|0.0|100
0|2021-11-08|13064.0|0|13293.0|0|207.0|0|0.0|100
0|2021-11-09|13088.0|0|13317.0|0|208.0|0|0.0|100
0|2021-11-10|13088.0|0|13348.0|0|208.0|0|0.0|100
0|2021-11-11|13119.0|0|13348.0|0|208.0|0|0.0|100
0|2021-11-12|13222.0|0|13451.0|0|210.0|0|0.0|100
0|2021-11-13|13222.0|0|13451.0|0|210.0|0|0.0|100
0|2021-11-14|13222.0|0|13451.0|0|210.0|0|0.0|100
0|2021-11-15|13320.0|0|13549.0|0|213.0|0|0.0|100
0|2021-11-16|13330.0|0|13559.0|0|213.0|0|0.0|100
0|2021-11-17|13367.0|0|13596.0|0|213.0|0|0.0|100
0|2021-11-18|13428.0|0|13657.0|0|213.0|0|0.0|100
0|2021-11-19|13486.0|0|13716.0|0|214.0|0|0.0|100
0|2021-11-20|13486.0|0|13716.0|0|214.0|0|0.0|100
0|2021-11-21|13486.0|0|13716.0|0|214.0|0|0.0|100
0|2021-11-22|13586.0|0|13816.0|0|215.0|0|0.0|100
0|2021-11-23|13599.0|0|13829.0|0|215.0|0|0.0|100
0|2021-11-24|13639.0|0|13869.0|0|216.0|0|0.0|100
0|2021-11-25|13639.0|0|13869.0|0|216.0|0|0.0|100
0|2021-11-26|13639.0|0|13869.0|0|216.0|0|0.0|100
0|2021-11-27|13639.0|0|13869.0|0|216.0|0|0.0|100
0|2021-11-28|13639.0|0|13869.0|0|216.0|0|0.0|100
0|2021-11-29|13802.0|0|14032.0|0|217.0|0|0.0|100
0|2021-11-30|13824.0|0|14054.0|0|217.0|0|0.0|100
0|2021-12-01|13890.0|0|14120.0|0|217.0|0|0.0|100
0|2021-12-02|13969.0|0|14199.0|0|218.0|0|0.0|100
0|2021-12-03|13969.0|0|14232.0|0|218.0|0|0.0|100
0|2021-12-04|14035.0|0|14265.0|0|219.0|0|0.0|100
0|2021-12-05|14035.0|0|14265.0|0|219.0|0|0.0|100
0|2021-12-06|14184.0|0|14414.0|0|219.0|0|0.0|100
0|2021-12-07|14203.0|0|14433.0|0|221.0|0|0.0|100
0|2021-12-08|14278.0|0|14508.0|0|221.0|0|0.0|100
0|2021-12-09|14371.0|0|14601.0|0|222.0|0|0.0|100
0|2021-12-10|14425.0|0|14628.0|0|223.0|0|0.0|100
0|2021-12-11|14425.0|0|14655.0|0|223.0|0|0.0|100
0|2021-12-12|14425.0|0|14655.0|0|223.0|0|0.0|100
0|2021-12-13|14532.0|0|14762.0|0|223.0|0|0.0|100
0|2021-12-14|14532.0|0|14774.0|0|223.0|0|0.0|100
0|2021-12-15|14625.0|0|14855.0|0|223.0|0|0.0|100
0|2021-12-16|14625.0|0|14894.0|0|223.0|0|0.0|100
