|dates|Hancock_Georgia_UnitedStates.AveragePrecipitationTotal.data|Hancock_Georgia_UnitedStates.AveragePrecipitationTotal.missing|Hancock_Georgia_UnitedStates.AveragePrecipitation.data|Hancock_Georgia_UnitedStates.AveragePrecipitation.missing|Hancock_Georgia_UnitedStates.AverageWindDirection.data|Hancock_Georgia_UnitedStates.AverageWindDirection.missing|Hancock_Georgia_UnitedStates.AverageWindSpeed.data|Hancock_Georgia_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-18|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-19|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-20|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-21|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-22|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-23|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-24|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-25|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-26|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-27|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-28|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-29|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-30|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-10-31|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-01|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-02|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-03|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-04|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-05|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-06|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-07|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-08|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-09|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-10|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-11|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-12|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-13|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-14|0.0|0|0.0|0|0.0|0|0.0|0
0|2021-11-15|0.0|0|0.0|0|0.0|0|0.0|0
